PlacesIdx,County,Phillimore,Hundred,Vill,Area,XRefs,OSrefs,OScodes,lat,lon,easting,northing,start_date,end_date
61746,DEV,"17,13",Lifton,[Mary] Tavy,,,SX5079,,50.591397,-4.120538,250000.0,79000.0,1066,1086
61751,DEV,"39,21",Roborough,[Peter] Tavy,,,SX5177,,50.573679,-4.105619,251000.0,77000.0,1066,1086
61756,DEV,"51,2",Wonford,Taw [Green],,,SX6597,,50.756842,-3.915326,265000.0,97000.0,1066,1086
61761,DEV,"1,40;67",Fremington,Tawstock,,,SS5529,,51.042002,-4.069723,255000.0,129000.0,1066,1086
61766,DEV,"2,11",South Molton,[Bishops] Tawton,,,SS5630,,51.05124,-4.055866,256000.0,130000.0,1066,1086
61771,DEV,"1,3. 16,56",North Tawton,[North] Tawton,,,SS6601,,50.793024,-3.902615,266000.0,101000.0,1066,1086
61776,DEV,"1,29. 43,1. 45,1. 51,2",Wonford,[South] Tawton,,,SX6594,,50.729879,-3.914225,265000.0,94000.0,1066,1086
61781,GLS,"34,10",Botloe,Taynton,,,SO7321,,51.886906,-2.393703,373000.0,221000.0,1066,1086
61786,OXF,"B8. 13,1",Shipton,Taynton,,,SP2313,,51.815168,-1.667743,423000.0,213000.0,1066,1086
61791,GLS,"37,4",Botloe,[Little] Taynton,,,SO7423,,51.904935,-2.379325,374000.0,223000.0,1066,1086
61796,LIN,"4,41. 14,(7);10. 16,10(-11). 27,11. 28,20(-24). 35,9-10. 40,14. CN18",`Walshcroft',Tealby,Lindsey North Riding,,TF1590,,53.394341,-0.27205,515000.0,390000.0,1066,1086
61811,DEV,"16,119-120. 19,30",Wonford,Tedburn [St Mary],,,SX8194,,50.733379,-3.687626,281000.0,94000.0,1066,1086
61816,GLS,E19. EvA104. EvC23. WoB5. WoC4,`Oswaldslow',Teddington,,,SO9633,,51.995441,-2.059661,396000.0,233000.0,1066,1086
61821,WOR,"2,23",`Oswaldslow',Teddington,,,SO9633,,51.995441,-2.059661,396000.0,233000.0,1066,1086
61831,NTH,"35,18",Nobottle,Teeton,,,SP6970,,52.323785,-0.989014,469000.0,270000.0,1066,1086
61836,WIL,"26,3",Dunworth,Teffont [Evias],,,ST9931,,51.078315,-2.015645,399000.0,131000.0,1066,1086
61841,CON,"5,1,12",`Connerton',Tehidy,,,SW6444,,50.248738,-5.311751,164000.0,44000.0,1066,1086
61846,RUT,"3,10",Alstoe [North],Teigh,Rutland,,SK8616,,52.734826,-0.727758,486000.0,316000.0,1066,1086
61851,DEV,"16,59",Exminster,[George] Teign,,,SX8583,,50.635304,-3.627544,285000.0,83000.0,1066,1086
61856,DEV,"3,66",Wonford,Teigncombe,,,SX6787,,50.667426,-3.88338,267000.0,87000.0,1066,1086
61861,DEV,"16,153",Teignbridge,Teigngrace,,,SX8473,,50.545213,-3.638554,284000.0,73000.0,1066,1086
61866,DEV,"16,117",Wonford,Teignharvey,,,SX9172,,50.537571,-3.539504,291000.0,72000.0,1066,1086
61876,SOM,"5,53",Wellow,Tellisford,,,ST8055,,51.29377,-2.288213,380000.0,155000.0,1066,1086
61878,SOM,"4,1",Horethorne,Templecombe,,,ST7022,,50.996599,-2.428865,370000.0,122000.0,1066,1086
